"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",2,"Lorenzo Bertozzi","OH",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",23,"Donovan Constable","S",3,0,0,0,0,0,31,2,5,3,0,1,2,0,4,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",22,"Taylan Cook","L",3,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",7,"Kyle Hobus","OH",3,0,11,10,26,0.038,0,1,4,2,1,0,3,0,13.5,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",8,"Chris Karnezis","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",15,"Malcolm King","MB",3,0,3,0,6,0.5,0,1,2,0,0,0,5,0,6.5,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",18,"Jalen Phillips","OPP",3,0,9,4,16,0.313,1,0,4,1,0,0,2,0,10,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",16,"Jano Tello","OH",3,0,5,2,11,0.273,0,0,4,0,0,0,2,0,6,0
"CSUN","2024-2025",2024-01-04,"CSUN","Big West","Grand Canyon","MPSF","Home",12,"Griffin Walters","OH",3,0,6,3,17,0.176,0,2,1,2,1,0,0,0,8,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",2,"Lorenzo Bertozzi","OH",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",23,"Donovan Constable","S",4,0,0,0,1,0,39,1,4,3,0,1,3,0,3.5,1
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",22,"Taylan Cook","L",4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",13,"Owen Douphner","S",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",7,"Kyle Hobus","OH",4,0,12,5,23,0.304,0,3,4,2,0,0,3,1,16.5,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",8,"Chris Karnezis","L",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",15,"Malcolm King","MB",4,0,4,1,6,0.5,0,3,7,1,0,1,3,0,9.5,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",11,"Jackson Payne","MB",3,0,6,0,7,0.857,0,1,4,0,0,1,3,0,9.5,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",18,"Jalen Phillips","OPP",4,0,12,3,23,0.391,1,0,2,5,0,0,2,0,13,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",16,"Jano Tello","OH",1,0,2,2,4,0,0,0,1,0,0,0,0,0,2,0
"CSUN","2024-2025",2024-01-05,"CSUN","Big West","NJIT","EIVA","Home",12,"Griffin Walters","OH",4,0,7,5,19,0.105,1,1,5,4,1,0,0,0,8,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",2,"Lorenzo Bertozzi","OH",4,0,1,2,4,-0.25,0,1,2,3,0,0,0,0,2,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",21,"Cody Bowker","OH",1,0,1,0,1,1,0,1,1,0,0,0,0,0,2,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",23,"Donovan Constable","S",4,0,1,1,2,0,44,0,7,5,0,2,1,1,3.5,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",22,"Taylan Cook","L",4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",13,"Owen Douphner","S",1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",7,"Kyle Hobus","OH",4,0,12,5,30,0.233,0,1,7,2,3,0,3,1,14.5,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",8,"Chris Karnezis","L",4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",15,"Malcolm King","MB",4,0,5,0,6,0.833,0,1,4,0,0,0,3,0,7.5,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",11,"Jackson Payne","MB",4,0,2,2,8,0,0,1,2,0,0,0,3,0,4.5,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",18,"Jalen Phillips","OPP",4,0,14,8,29,0.207,0,1,5,3,0,1,2,0,17,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",16,"Jano Tello","OH",2,0,1,0,4,0.25,0,0,1,0,0,0,1,0,1.5,0
"CSUN","2024-2025",2024-01-06,"CSUN","Big West","George Mason","EIVA","Home",12,"Griffin Walters","OH",4,0,10,3,19,0.368,1,2,3,4,0,0,2,0,13,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",2,"Lorenzo Bertozzi","OH",4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",23,"Donovan Constable","S",4,0,4,0,5,0.8,48,1,2,4,0,0,3,0,6.5,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",22,"Taylan Cook","L",4,0,0,0,0,0,5,0,0,2,3,0,0,1,0,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",7,"Kyle Hobus","OH",4,0,17,6,29,0.379,1,4,4,6,0,0,4,1,23,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",8,"Chris Karnezis","L",4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",15,"Malcolm King","MB",4,0,3,0,9,0.333,0,1,4,3,0,0,6,0,7,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",24,"Trevor Lau","OH",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",11,"Jackson Payne","MB",4,0,6,3,16,0.188,1,0,2,2,0,0,1,1,6.5,0
"CSUN","2024-2025",2024-01-12,"CSUN","Big West","Harvard","EIVA","Home",18,"Jalen Phillips","OPP",4,0,18,5,33,0.394,0,0,5,4,0,0,1,1,18.5,0
