"team","Season","Date","Team","Conference","Opponent Team","Opponent Conference","Location","Number","Player","P","S","MS","Kills","Errors","TotalAttacks","HitPct","Assists","Aces","SErr","Digs","RErr","BlockSolos","BlockAssists","BErr","PTS","BHE"
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",13,"Olumide Allen","MB",3,0,2,0,3,0.667,0,1,4,1,0,0,4,1,5,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",23,"Donovan Constable","S",1,0,0,0,1,0,12,0,2,0,0,0,1,0,0.5,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",22,"Taylan Cook","L",3,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",6,"Ryan DeWeese","OPP",2,0,5,3,12,0.167,0,1,0,1,0,0,0,0,6,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",7,"Kyle Hobus","OH",3,0,8,3,22,0.227,1,0,3,1,4,0,4,0,10,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",9,"Lance Krenik","S",2,0,0,0,1,0,17,0,1,4,0,0,2,0,1,1
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",4,"Luke Krzmarzick","OPP",1,0,6,1,8,0.625,0,0,1,2,0,0,1,0,6.5,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",12,"Griffin Walters","OH",3,0,9,3,19,0.316,0,1,3,3,0,0,2,0,11,0
"CSUN","2022-2023",2022-01-27,"CSUN","Big West","UCLA","MPSF","Away",10,"Daniel Wetter","MB",3,0,6,2,13,0.308,0,0,3,2,0,1,2,0,8,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",13,"Olumide Allen","MB",2,0,3,1,4,0.5,0,0,1,0,0,0,0,0,3,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",2,"Lorenzo Bertozzi","OH",1,0,3,1,5,0.4,0,1,2,1,0,0,1,0,4.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",23,"Donovan Constable","S",2,0,0,0,0,0,20,0,1,2,0,0,1,0,0.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",22,"Taylan Cook","L",2,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",6,"Ryan DeWeese","OPP",1,0,1,0,3,0.333,1,0,1,1,0,0,1,0,1.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",7,"Kyle Hobus","OH",2,0,4,0,8,0.5,1,0,3,4,0,0,1,0,4.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",9,"Lance Krenik","S",1,0,1,0,1,1,11,0,1,0,0,0,1,1,1.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",4,"Luke Krzmarzick","OPP",2,0,7,1,12,0.5,0,1,1,1,0,0,0,0,8,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",1,"Joe Picone","L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",16,"Jano Tello","OH",1,0,2,0,2,1,0,1,0,0,0,0,1,0,3.5,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",12,"Griffin Walters","OH",3,0,7,4,17,0.176,0,1,2,6,1,0,2,0,9,0
"CSUN","2022-2023",2022-01-28,"CSUN","Big West","Cal Lutheran","DIII Independent","Home",10,"Daniel Wetter","MB",3,0,10,1,14,0.643,1,0,1,2,0,0,3,0,11.5,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",13,"Olumide Allen","MB",4,0,7,0,8,0.875,0,1,2,2,0,1,3,0,10.5,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",2,"Lorenzo Bertozzi","OH",1,0,0,3,4,-0.75,0,0,0,0,0,0,0,0,0,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",8,"Inaki Bustamante","OH",1,0,1,0,2,0.5,0,0,1,0,0,0,0,0,1,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",23,"Donovan Constable","S",4,0,2,0,3,0.667,22,2,2,5,0,0,0,0,4,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",22,"Taylan Cook","L",3,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",6,"Ryan DeWeese","OPP",2,0,0,1,3,-0.333,0,1,1,0,0,0,0,0,1,0
"CSUN","2022-2023",2022-02-04,"CSUN","Big West","UC Merced",NA,"Home",7,"Kyle Hobus","OH",3,0,5,2,11,0.273,2,3,2,0,0,0,3,0,9.5,0
