"Season","Date","Team","Conference","Opponent","Result","S","MS","Kills","Errors","Total Attacks","Hit Pct","Assists","Aces","SErr","Digs","RErr","Block Solos","Block Assists","BErr","PTS","BHE"
"2021-2022","01/06/2022","CSUN","Big West","CUI @Isla Vista, CA","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/07/2022","CSUN","Big West","Southern California @Isla Vista, CA","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/08/2022","CSUN","Big West","UCLA @Isla Vista, CA","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/12/2022","CSUN","Big West","St. Xavier","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/15/2022","CSUN","Big West","Erskine","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/19/2022","CSUN","Big West","Princeton","Canceled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-2022","01/27/2022","CSUN","Big West","@ UCLA","L 0-3",3,NA,36,12,79,0.304,31,3,17,15,9,1,16,1,48,1
"2021-2022","01/28/2022","CSUN","Big West","Cal Lutheran","W 3-0",3,NA,38,8,66,0.455,34,4,13,21,3,NA,11,1,47.5,NA
"2021-2022","","CSUN","Big West","Defensive Totals","",3,NA,18,22,65,-0.062,16,3,8,15,4,2,2,NA,24,1
"2021-2022","02/04/2022","CSUN","Big West","UC Merced","W 3-1",4,NA,44,14,83,0.361,36,10,16,18,4,3,10,NA,62,NA
"2021-2022","02/09/2022","CSUN","Big West","Vanguard","W 3-0",3,NA,36,7,67,0.433,32,9,11,24,NA,2,7,2,50.5,NA
"2021-2022","02/10/2022","CSUN","Big West","@ Southern California","L 0-3",3,NA,35,24,92,0.12,32,2,11,34,2,1,8,2,42,NA
"2021-2022","02/18/2022","CSUN","Big West","@ Stanford","L 0-3",3,NA,30,16,74,0.189,27,2,11,21,5,NA,6,NA,35,NA
"2021-2022","02/23/2022","CSUN","Big West","St. Katherine","W 3-0",3,NA,31,11,58,0.345,28,5,17,13,NA,NA,16,NA,44,NA
"2021-2022","02/26/2022","CSUN","Big West","Stanford","W 3-1",4,NA,46,15,106,0.292,42,10,23,40,6,4,18,1,69,NA
"2021-2022","03/03/2022","CSUN","Big West","NJIT","L 0-3",3,NA,42,17,91,0.275,35,4,20,23,4,1,10,NA,52,NA
"2021-2022","03/10/2022","CSUN","Big West","@ UC Santa Barbara","L 0-3",3,NA,30,10,71,0.282,29,2,14,22,8,1,4,1,35,1
"2021-2022","03/11/2022","CSUN","Big West","UC Santa Barbara","L 0-3",3,NA,35,19,84,0.19,33,2,9,22,4,NA,4,1,39,NA
"2021-2022","03/16/2022","CSUN","Big West","@ Pepperdine","L 0-3",3,NA,31,15,74,0.216,31,2,11,14,5,1,12,2,40,NA
"2021-2022","03/18/2022","CSUN","Big West","Pepperdine","L 0-3",3,NA,25,21,76,0.053,24,NA,10,9,2,NA,6,2,28,NA
"2021-2022","03/25/2022","CSUN","Big West","@ Hawaii","L 1-3",4,NA,52,21,111,0.279,49,10,11,33,7,1,13,NA,69.5,NA
"2021-2022","03/26/2022","CSUN","Big West","@ Hawaii","L 0-3",3,NA,27,18,75,0.12,26,4,11,17,6,NA,10,NA,36,NA
"2021-2022","03/31/2022","CSUN","Big West","@ UC San Diego","W 3-0",3,NA,43,11,87,0.368,38,3,19,34,2,2,11,NA,53.5,2
"2021-2022","04/02/2022","CSUN","Big West","UC San Diego","L 0-3",3,NA,34,15,78,0.244,33,6,13,23,6,4,6,2,47,NA
"2021-2022","04/08/2022","CSUN","Big West","UC Irvine","L 1-3",4,NA,55,19,107,0.336,51,2,15,30,7,1,5,NA,60.5,NA
"2021-2022","04/09/2022","CSUN","Big West","@ UC Irvine","L 0-3",3,NA,36,20,94,0.17,36,3,12,17,5,NA,4,NA,41,NA
"2021-2022","04/15/2022","CSUN","Big West","@ Long Beach St.","L 2-3",5,NA,61,14,121,0.388,54,9,16,43,10,2,9,2,76.5,1
"2021-2022","04/16/2022","CSUN","Big West","Long Beach St.","L 0-3",3,NA,49,16,106,0.311,44,2,10,28,4,NA,6,2,54,NA
"2021-2022","04/21/2022","CSUN","Big West","#3 UC Santa Barbara @Honolulu, HI (2022 Big West MVB)","L 0-3",3,NA,41,18,97,0.237,40,1,10,34,4,NA,8,2,46,NA
"2021-2022","01/05/2022","Hawaii","Big West","Loyola Chicago","W 3-0",3,NA,42,10,84,0.381,40,6,12,31,NA,1,17,NA,57.5,NA
"2021-2022","01/07/2022","Hawaii","Big West","Loyola Chicago","W 3-1",4,NA,48,14,96,0.354,44,8,11,26,3,1,16,NA,65,NA
"2021-2022","01/14/2022","Hawaii","Big West","Edward Waters","W 3-0",3,NA,35,4,55,0.564,30,11,4,21,1,NA,15,NA,53.5,1
"2021-2022","01/16/2022","Hawaii","Big West","Edward Waters","W 3-0",3,NA,36,3,48,NA,31,14,8,8,NA,1,18,1,60,NA
"2021-2022","01/29/2022","Hawaii","Big West","@ Ball St.","L 0-3",3,NA,29,16,82,0.159,27,1,11,17,1,1,10,1,36,NA
"2021-2022","01/31/2022","Hawaii","Big West","@ Ball St.","L 2-3",5,NA,57,12,123,0.366,51,9,13,41,8,NA,20,3,76,NA
"2021-2022","02/04/2022","Hawaii","Big West","FDU @Austin, TX","W 3-0",3,NA,37,8,72,0.403,36,8,8,32,NA,1,18,NA,55,NA
"2021-2022","02/04/2022","Hawaii","Big West","Queens (NC) @Austin, TX","W 3-0",3,NA,32,9,62,0.371,25,17,3,23,2,1,19,1,59.5,NA
"2021-2022","02/05/2022","Hawaii","Big West","Stanford @Austin, TX","W 3-1",4,NA,49,17,113,0.283,47,6,10,40,3,2,23,NA,68.5,NA
"2021-2022","02/08/2022","Hawaii","Big West","LIU","W 3-0",3,NA,31,9,64,0.344,30,10,7,20,3,2,25,NA,55.5,NA
"2021-2022","02/09/2022","Hawaii","Big West","LIU","W 3-0",3,NA,32,4,52,0.538,32,8,8,15,3,2,20,1,52,1
"2021-2022","02/11/2022","Hawaii","Big West","LIU","W 3-1",4,NA,37,18,80,0.238,35,NA,10,28,5,6,25,1,75.5,NA
"2021-2022","02/18/2022","Hawaii","Big West","Lincoln Memorial","W 3-0",3,NA,37,13,79,0.304,34,5,8,17,4,5,4,NA,49,NA
"2021-2022","02/19/2022","Hawaii","Big West","Lincoln Memorial","W 3-0",3,NA,39,13,69,0.377,37,4,10,26,1,3,14,2,53,NA
"2021-2022","02/20/2022","Hawaii","Big West","Lincoln Memorial","W 3-1",4,NA,53,14,109,0.358,46,6,14,33,2,2,11,NA,66.5,NA
"2021-2022","03/02/2022","Hawaii","Big West","@ UC San Diego","L 2-3",5,NA,47,22,130,0.192,42,4,12,37,4,6,14,NA,64,NA
"2021-2022","03/04/2022","Hawaii","Big West","@ UC San Diego","W 3-0",3,NA,43,10,77,0.429,40,1,10,21,2,4,8,NA,52,1
"2021-2022","03/10/2022","Hawaii","Big West","Lewis","W 3-0",3,NA,47,11,85,0.424,44,5,9,21,NA,2,5,1,56.5,1
"2021-2022","03/12/2022","Hawaii","Big West","Lewis","W 3-1",4,NA,45,17,121,0.231,40,8,18,47,8,NA,18,NA,69,NA
"2021-2022","03/25/2022","Hawaii","Big West","CSUN","W 3-1",4,NA,59,11,114,0.421,54,7,11,31,10,2,10,1,73,NA
"2021-2022","03/26/2022","Hawaii","Big West","CSUN","W 3-0",3,NA,41,11,72,0.417,38,6,10,25,4,5,15,2,59.5,NA
"2021-2022","04/01/2022","Hawaii","Big West","@ Long Beach St.","L 1-3",4,NA,50,18,121,0.264,44,1,11,47,8,2,13,NA,59.5,NA
"2021-2022","04/02/2022","Hawaii","Big West","@ Long Beach St.","L 1-3",4,NA,52,28,138,0.174,50,7,13,46,5,NA,17,1,67.5,NA
"2021-2022","04/08/2022","Hawaii","Big West","UC Santa Barbara","W 3-0",3,NA,38,13,90,0.278,36,6,10,34,4,2,8,1,50,NA
"2021-2022","04/09/2022","Hawaii","Big West","UC Santa Barbara","W 3-2",5,NA,64,11,137,0.387,58,7,12,41,9,1,16,4,80,1
"2021-2022","04/15/2022","Hawaii","Big West","@ UC Irvine","W 3-0",3,NA,42,10,82,0.39,41,5,7,22,6,2,15,1,56.5,NA
"2021-2022","04/16/2022","Hawaii","Big West","@ UC Irvine","W 3-2",5,NA,66,24,129,0.326,62,6,18,37,5,3,25,1,NA,1
"2021-2022","04/22/2022","Hawaii","Big West","#3 UC Santa Barbara 2022 Big West MVB","W 3-0",3,NA,41,8,85,0.388,37,4,9,32,3,3,20,NA,58,NA
"2021-2022","04/23/2022","Hawaii","Big West","#1 Long Beach St. 2022 Big West MVB","W 3-0",3,NA,53,14,106,0.368,49,3,14,35,3,1,14,NA,64,NA
"2021-2022","05/03/2022","Hawaii","Big West","North Greenville @Los Angeles, CA (2022 NC MVB Championship )","W 3-0",3,NA,36,9,63,0.429,32,5,14,20,2,2,17,1,51.5,NA
